jobname,company,location,time,image
Data Analyst,บริษัท เอสวีโอเอ จำกัด (มหาชน) / บริษัท ดาต้าวัน เอเชีย (ประเทศไทย) จำกัด,เขตยานนาวา กรุงเทพมหานคร,21 เม.ย. 64,https://media.jobthai.com/v1/images/logo-pic-map/77715_logo_20200123171609.png
Database Specialist,"บริษัท ภัทร โปรเกรส จำกัด  (Bhatara Progress Co., Ltd.)",เขตบางกะปิ กรุงเทพมหานคร,21 เม.ย. 64,https://media.jobthai.com/v1/images/logo-pic-map/19860_logo_20191105093207.png
Data Transformation ,กลุ่มน้ำตาลไทยรุ่งเรือง,เขตยานนาวา กรุงเทพมหานคร,21 เม.ย. 64,https://media.jobthai.com/v1/images/logo/148986_logo_201909230958.png
เจ้าหน้าที่บันทึกข้อมูล,บริษัท คิงส์สเตลล่า แลบบอราทอรี่ จำกัด,อ.บางบ่อ จ.สมุทรปราการ,21 เม.ย. 64,https://media.jobthai.com/v1/images/logo/187639_logo_3.gif
Data analyst/data engineer,"CdnCloud International Data Technology Co., Ltd.",เขตห้วยขวาง กรุงเทพมหานคร,21 เม.ย. 64,https://media.jobthai.com/v1/images/logo-pic-map/278654_logo_20210219135847.jpeg
Data Analyst,บริษัท เธียรสุรัตน์ จำกัด (มหาชน),อ.ปากเกร็ด จ.นนทบุรี,21 เม.ย. 64,https://media.jobthai.com/v1/images/logo-pic-map/152956_logo_20210122121611.jpeg
Data Analyst,"Toshiba Semiconductor (Thailand) Co., Ltd.",สวนอุตสาหกรรม 304 จ.ปราจีนบุรี,21 เม.ย. 64,https://media.jobthai.com/v1/images/logo/105116_logo_201811201655.jpeg
Big Data Engineer Data Analytic,บริษัท ทีคิวเอ็ม คอร์ปอเรชั่น จำกัด (มหาชน),เขตลาดพร้าว กรุงเทพมหานคร,21 เม.ย. 64,https://media.jobthai.com/v1/images/logo-pic-map/53438_logo_20200217133545.png
Data Analyst,บริษัท แนชเชอรัล แอนด์ พรีเมี่ยม ฟู๊ด จำกัด,เขตลาดกระบัง กรุงเทพมหานคร,21 เม.ย. 64,https://media.jobthai.com/v1/images/logo/101402_logo_201806251714.jpeg
MIS,บริษัท ธนาคารไทยเครดิต เพื่อรายย่อย จำกัด (มหาชน) / Thai Credit Retail Bank Public Company Limited,เขตดินแดง กรุงเทพมหานคร,21 เม.ย. 64,https://media.jobthai.com/v1/images/logo/193097_logo_201812131626.jpeg
Data Scientist,บริษัท ชิปป๊อป จำกัด,เขตราชเทวี กรุงเทพมหานคร,20 เม.ย. 64,https://media.jobthai.com/v1/images/logo-pic-map/265059_logo_20200211174602.png
Data Engineer (Python Hadoop Big data),KP Solution,เขตยานนาวา กรุงเทพมหานคร,19 เม.ย. 64,https://media.jobthai.com/v1/images/logo-pic-map/277565_logo_20210126155401.jpeg
Reporting and Data Analytics Officer,RS Group,เขตจตุจักร กรุงเทพมหานคร,19 เม.ย. 64,https://media.jobthai.com/v1/images/logo-pic-map/153534_logo_20200306160036.png
Business Intelligence Analyst,บริษัท ไฮคิวผลิตภัณฑ์อาหาร จำกัด,อ.บางพลี จ.สมุทรปราการ,19 เม.ย. 64,https://media.jobthai.com/v1/images/logo-pic-map/51070_logo_20200217124728.jpeg
SAP Specialist,บริษัท เอ็น อาร์ อินสแตนท์ โปรดิวซ์ จำกัด (มหาชน),อ.กระทุ่มแบน จ.สมุทรสาคร,19 เม.ย. 64,https://media.jobthai.com/v1/images/logo-pic-map/90417_logo_20200220095404.png
Data Analytic,บริษัท เทคโทนี่ จำกัด,อ.เมืองนนทบุรี จ.นนทบุรี,18 เม.ย. 64,https://media.jobthai.com/v1/images/logo-pic-map/274458_logo_20201008160729.jpeg
Data Analytics,บริษัท พีทีจี เอ็นเนอยี จำกัด (มหาชน)/ บริษัท ปิโตรเลียมไทย คอร์ปอเรชั่น จำกัด,เขตห้วยขวาง กรุงเทพมหานคร,17 เม.ย. 64,https://media.jobthai.com/v1/images/logo-pic-map/64334_logo_20200429185129.png
นักวิเคราะห์ระบบ,บริษัท ไอที ครีเอชั่น จำกัด,อ.เมืองนนทบุรี จ.นนทบุรี,16 เม.ย. 64,https://media.jobthai.com/v1/images/logo-pic-map/129356_logo_20200819102703.png
Data Scientist,บริษัท คิสรา จำกัด,รัชโยธิน,16 เม.ย. 64,https://media.jobthai.com/v1/images/logo/256237_logo_201909161359.jpeg
